,Book_id,True_title,author,title,url,view,similarity,isnotVol,status,Used
0,8,Hilary St Ives A Novel,"Ainsworth, William Harrison, 1805-1882",Vol 1: Hilary St. Ives : a novel,/details/hilarystivesnove01ains,321,0.740740741,FALSE,Normal,
1,8,Hilary St Ives A Novel,"Ainsworth, William Harrison, 1805-1882",Vol 2: Hilary St. Ives : a novel,/details/hilarystivesnove02ains,410,0.740740741,FALSE,Normal,
2,8,Hilary St Ives A Novel,William Harrison Ainsworth,Hilary St. Ives: A Novel,/details/hilarystivesano00ainsgoog,209,0.956521739,TRUE,Normal,1
3,8,Hilary St Ives A Novel,"Ainsworth, William Harrison, 1805-1882",Vol 3: Hilary St. Ives : a novel,/details/hilarystivesnove03ains,452,0.740740741,FALSE,Normal,
0,2,Home Influence A Tale For Mothers And Daughters,Grace Aguilar,Home influence: A Tale for Mothers and Daughters,/details/homeinfluenceat05aguigoog,95,0.926315789,TRUE,Normal,
1,2,Home Influence A Tale For Mothers And Daughters,Grace Aguilar,Home Influence: A Tale for Mothers and Daughters,/details/homeinfluenceat00aguigoog,230,0.947368421,TRUE,Normal,
2,2,Home Influence A Tale For Mothers And Daughters,Grace Aguilar,Home Influence: A Tale for Mothers and Daughters,/details/homeinfluenceat03aguigoog,145,0.947368421,TRUE,Normal,
3,2,Home Influence A Tale For Mothers And Daughters,Grace Aguilar,Home Influence: A Tale for Mothers and Daughters,/details/homeinfluenceat01aguigoog,260,0.947368421,TRUE,Normal,
4,2,Home Influence A Tale For Mothers And Daughters,Grace Aguilar,Home Influence: A Tale for Mothers and Daughters,/details/homeinfluenceat02aguigoog,334,0.947368421,TRUE,Normal,
5,2,Home Influence A Tale For Mothers And Daughters,Grace Aguilar,Home influence: a tale for mothers and daughters,/details/homeinfluenceat09aguigoog,144,0.842105263,TRUE,Normal,
6,2,Home Influence A Tale For Mothers And Daughters,"Aguilar, Grace, 1816-1847",Home influence: a tale for mothers and daughters. [Microform],/details/homeinfluenceat07aguigoog,78,0.740740741,TRUE,Normal,
7,2,Home Influence A Tale For Mothers And Daughters,Grace Aguilar,Home Influence: A Tale for Mothers and Daughters,/details/homeinfluenceat08aguigoog,328,0.947368421,TRUE,Normal,
8,2,Home Influence A Tale For Mothers And Daughters,Grace Aguilar,Home Influence: A Tale for Mothers and Daughters,/details/homeinfluenceat04aguigoog,213,0.947368421,TRUE,Normal,
9,2,Home Influence A Tale For Mothers And Daughters,Grace Aguilar,Home Influence: A Tale for Mothers and Daughters,/details/homeinfluenceat06aguigoog,150,0.947368421,TRUE,Normal,
10,2,Home Influence A Tale For Mothers And Daughters,"Aguilar, Grace, 1816-1847",Vol 2: Home influence : a tale for mothers and daughters,/details/homeinfluencetal02agui,255,0.776699029,FALSE,Normal,
11,2,Home Influence A Tale For Mothers And Daughters,"Aguilar, Grace, 1816-1847",Home influence; a tale for mothers and daughters,/details/homeinfluencetal00agui,537,0.842105263,TRUE,Normal,1
12,2,Home Influence A Tale For Mothers And Daughters,"Aguilar, Grace, 1816-1847",Home influence: a tale for mothers and daughters,/details/homeinfluencetal00aguiiala,342,0.842105263,TRUE,Normal,
13,2,Home Influence A Tale For Mothers And Daughters,"Aguilar, Grace, 1816-1847",Vol 1: Home influence : a tale for mothers and daughters,/details/homeinfluencetal01agui,229,0.776699029,FALSE,Normal,
0,1,Leicester An Autobiography,"Adams, Francis William Lauderdale, 1862-1893",Vol 2: Leicester : an autobiography,/details/leicesterautobio02adam,208,0.786885246,FALSE,Normal,
