BOOK_ID,Date,first_name,last_name,title,search_url,error_type
5,1836,John,Ainslie,Antipathy Or The Confessions Of A Cathater,"https://archive.org/details/texts?&and[]=Antipathy%20Or%20The%20Confessions%20Of%20A%20Cathater&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainslie""",No result
3,1851,Grace,Aguilar,Womans Friendship A Story Of Domestic Life,"https://archive.org/details/texts?&and[]=Womans%20Friendship%20A%20Story%20Of%20Domestic%20Life&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Aguilar""",No result
11,1841,William,Ainsworth,Old Saint Pauls A Tale Of The Plague And The Fire,"https://archive.org/details/texts?&and[]=Old%20Saint%20Pauls%20A%20Tale%20Of%20The%20Plague%20And%20The%20Fire&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth""",No result
14,1875,William,Ainsworth,The Goldsmiths Wife,"https://archive.org/details/texts?&and[]=The%20Goldsmiths%20Wife&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth""",No result
13,1844,William,Ainsworth,Saint Jamess Or The Court Of Queen Anne,"https://archive.org/details/texts?&and[]=Saint%20Jamess%20Or%20The%20Court%20Of%20Queen%20Anne&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth""",No result
18,1844,William,Ainsworth,Windsor Castle An Historical Romance By W Harrison Ainsworth,"https://archive.org/details/texts?&and[]=Windsor%20Castle%20An%20Historical%20Romance%20By%20W%20Harrison%20Ainsworth&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth""",No result
23,1857,Thomas,Aldrich,Daisys Necklace And What Came Of It A Literary Episode,"https://archive.org/details/texts?&and[]=Daisys%20Necklace%20And%20What%20Came%20Of%20It%20A%20Literary%20Episode&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Aldrich""",No result
31,1887,Annie,Alexander,Monas Choice A Novel,"https://archive.org/details/texts?&and[]=Monas%20Choice%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Alexander""",No result
33,1883,Annie,Alexander,The Admirals Ward,"https://archive.org/details/texts?&and[]=The%20Admirals%20Ward&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Alexander""",No result
38,1869,Elizabeth,Alford,Nethertononsea A Story,"https://archive.org/details/texts?&and[]=Nethertononsea%20A%20Story&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Alford""",No result
41,1891,Charles,Allen,Dumaresqs Daughter A Novel,"https://archive.org/details/texts?&and[]=Dumaresqs%20Daughter%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Allen""",No result
53,1867,,Unknown,Ada Moores Story A Novel,https://archive.org/details/texts?&and[]=Ada%20Moores%20Story%20A%20Novel&and[]=mediatype%3A%22texts%22,No result
54,1859,,Unknown,Aggesden Vicarage Or Bridget Storeys First Charge A Tale For The Young,https://archive.org/details/texts?&and[]=Aggesden%20Vicarage%20Or%20Bridget%20Storeys%20First%20Charge%20A%20Tale%20For%20The%20Young&and[]=mediatype%3A%22texts%22,No result
57,1875,,Unknown,Anderida Or The Briton And The Saxon Ad Ccccxli,https://archive.org/details/texts?&and[]=Anderida%20Or%20The%20Briton%20And%20The%20Saxon%20Ad%20Ccccxli&and[]=mediatype%3A%22texts%22,No result
74,1802,,Unknown,The Midnight Assassin Or Confession Of The Monk Rinaldi Containing A Complete History Of His Diabolical Machinations And Unparalleled Ferocity Together With A Circumstantial Account Of That Scourge Of Mankind The Inquistion With The Manner Of B,https://archive.org/details/texts?&and[]=The%20Midnight%20Assassin%20Or%20Confession%20Of%20The%20Monk%20Rinaldi%20Containing%20A%20Complete%20History%20Of%20His%20Diabolical%20Machinations%20And%20Unparalleled%20Ferocity%20Together%20With%20A%20Circumstantial%20Account%20Of%20That%20Scourge%20Of%20Mankind%20The%20Inquistion%20With%20The%20Manner%20Of%20B&and[]=mediatype%3A%22texts%22,No result
76,1816,Elizabeth,Lachlan,Edgar A National Tale,"https://archive.org/details/texts?&and[]=Edgar%20A%20National%20Tale&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Lachlan""",No result
77,1829,Elizabeth,Lachlan,Leonora Or The Presentation At Court Being The First Of A Series Of Narratives Called Young Ladies Tales,"https://archive.org/details/texts?&and[]=Leonora%20Or%20The%20Presentation%20At%20Court%20Being%20The%20First%20Of%20A%20Series%20Of%20Narratives%20Called%20Young%20Ladies%20Tales&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Lachlan""",No result
78,1852,,Unknown,Cathal More Or Selflove And Selfcontrol,https://archive.org/details/texts?&and[]=Cathal%20More%20Or%20Selflove%20And%20Selfcontrol&and[]=mediatype%3A%22texts%22,No result
82,1881,Lilias,Wassermann,David Armstrong Or Before The Dawn,"https://archive.org/details/texts?&and[]=David%20Armstrong%20Or%20Before%20The%20Dawn&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Wassermann""",No result
103,1864,Alfred,Austin,An Artists Proof,"https://archive.org/details/texts?&and[]=An%20Artists%20Proof&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Austin""",No result
104,1867,Alfred,Austin,Jessies Expiation A Novel,"https://archive.org/details/texts?&and[]=Jessies%20Expiation%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Austin""",No result
113,1882,,Unknown,Una Crichton,https://archive.org/details/texts?&and[]=Una%20Crichton&and[]=mediatype%3A%22texts%22,No result
118,1792,Robert,Bage,Man As He Is A Novel,"https://archive.org/details/texts?&and[]=Man%20As%20He%20Is%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Bage""",No result
117,1796,Robert,Bage,Hermsprong Or Man As He Is Not A Novel,"https://archive.org/details/texts?&and[]=Hermsprong%20Or%20Man%20As%20He%20Is%20Not%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Bage""",No result
122,1823,Alexander,Balfour,The Foundling Of Glenthorn Or The Smugglers Cave A Novel,"https://archive.org/details/texts?&and[]=The%20Foundling%20Of%20Glenthorn%20Or%20The%20Smugglers%20Cave%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Balfour""",No result
129,1835,Michael,Banim,The Mayor Of Windgap And Canvassing,"https://archive.org/details/texts?&and[]=The%20Mayor%20Of%20Windgap%20And%20Canvassing&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Banim""",No result
133,1865,Isabella,Banks,Gods Providence House A Story Of 1791,"https://archive.org/details/texts?&and[]=Gods%20Providence%20House%20A%20Story%20Of%201791&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Banks""",No result
154,1882,Frank,Barrett,A Prodigals Progress,"https://archive.org/details/texts?&and[]=A%20Prodigals%20Progress&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Barrett""",No result
157,1888,Frank,Barrett,The Admirable Lady Biddy Fane Her Surprising Curious Adventures In Strange Parts And Happy Deliverance From Pirates Battle Captivity And Other Terrors With Divers Romantic And Moving Accidents As Set Forth By Benet Pengilly Her Companion In Misfort,"https://archive.org/details/texts?&and[]=The%20Admirable%20Lady%20Biddy%20Fane%20Her%20Surprising%20Curious%20Adventures%20In%20Strange%20Parts%20And%20Happy%20Deliverance%20From%20Pirates%20Battle%20Captivity%20And%20Other%20Terrors%20With%20Divers%20Romantic%20And%20Moving%20Accidents%20As%20Set%20Forth%20By%20Benet%20Pengilly%20Her%20Companion%20In%20Misfort&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Barrett""",No result
163,1859,Albert,Mott,Trust For Trust,"https://archive.org/details/texts?&and[]=Trust%20For%20Trust&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Mott""",No result
162,1896,James,Barrie,The Novels Tales And Sketches Of Jm Barrie,"https://archive.org/details/texts?&and[]=The%20Novels%20Tales%20And%20Sketches%20Of%20Jm%20Barrie&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Barrie""",No result
167,1826,John,Battersby,Telltale Sophas An Eclectic Fable Founded On Anecdotes Foreign And Domestic,"https://archive.org/details/texts?&and[]=Telltale%20Sophas%20An%20Eclectic%20Fable%20Founded%20On%20Anecdotes%20Foreign%20And%20Domestic&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Battersby""",No result
182,1786,William,Beckford,Vathek Translated From The Original French Third Edition Revised And Corrected,"https://archive.org/details/texts?&and[]=Vathek%20Translated%20From%20The%20Original%20French%20Third%20Edition%20Revised%20And%20Corrected&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Beckford""",No result
189,1792,Jeremy,Belknap,The Foresters An American Tale Being A Sequel To The Historyof John Bull The Clothier In A Series Of Letters To A Friend1792,"https://archive.org/details/texts?&and[]=The%20Foresters%20An%20American%20Tale%20Being%20A%20Sequel%20To%20The%20Historyof%20John%20Bull%20The%20Clothier%20In%20A%20Series%20Of%20Letters%20To%20A%20Friend1792&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Belknap""",No result
195,1853,Emerson,Bennett,Clara Moreland Or Adventures In The Far Southwest,"https://archive.org/details/texts?&and[]=Clara%20Moreland%20Or%20Adventures%20In%20The%20Far%20Southwest&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Bennett""",No result
