BOOK_ID,last_name,first_name,title,Date,url
1,Adams,Francis,Leicester An Autobiography,1884,"https://archive.org/details/texts?&and[]=Leicester%20An%20Autobiography&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Adams"""
2,Aguilar,Grace,Home Influence A Tale For Mothers And Daughters,1847,"https://archive.org/details/texts?&and[]=Home%20Influence%20A%20Tale%20For%20Mothers%20And%20Daughters&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Aguilar"""
3,Aguilar,Grace,Womans Friendship A Story Of Domestic Life,1851,"https://archive.org/details/texts?&and[]=Womans%20Friendship%20A%20Story%20Of%20Domestic%20Life&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Aguilar"""
4,Kortright,Frances,Anne Sherwood Or The Social Institutions Of England,1857,"https://archive.org/details/texts?&and[]=Anne%20Sherwood%20Or%20The%20Social%20Institutions%20Of%20England&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Kortright"""
5,Ainslie,John,Antipathy Or The Confessions Of A Cathater,1836,"https://archive.org/details/texts?&and[]=Antipathy%20Or%20The%20Confessions%20Of%20A%20Cathater&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainslie"""
6,Ainsworth,William,Crichton,1837,"https://archive.org/details/texts?&and[]=Crichton&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
7,Ainsworth,William,Guy Fawkes Or The Gunpowder Treason An Historical Romance,1841,"https://archive.org/details/texts?&and[]=Guy%20Fawkes%20Or%20The%20Gunpowder%20Treason%20An%20Historical%20Romance&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
8,Ainsworth,William,Hilary St Ives A Novel,1869,"https://archive.org/details/texts?&and[]=Hilary%20St%20Ives%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
9,Ainsworth,William,Jack Sheppard A Romance,1839,"https://archive.org/details/texts?&and[]=Jack%20Sheppard%20A%20Romance&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
10,Ainsworth,William,Merry England Or Nobles And Serfs,1874,"https://archive.org/details/texts?&and[]=Merry%20England%20Or%20Nobles%20And%20Serfs&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
11,Ainsworth,William,Old Saint Pauls A Tale Of The Plague And The Fire,1841,"https://archive.org/details/texts?&and[]=Old%20Saint%20Pauls%20A%20Tale%20Of%20The%20Plague%20And%20The%20Fire&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
12,Ainsworth,William,Rookwood A Romance,1834,"https://archive.org/details/texts?&and[]=Rookwood%20A%20Romance&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
13,Ainsworth,William,Saint Jamess Or The Court Of Queen Anne,1844,"https://archive.org/details/texts?&and[]=Saint%20Jamess%20Or%20The%20Court%20Of%20Queen%20Anne&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
14,Ainsworth,William,The Goldsmiths Wife,1875,"https://archive.org/details/texts?&and[]=The%20Goldsmiths%20Wife&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
15,Ainsworth,William,The Lancashire Witches A Romance Of Pendle Forest,1849,"https://archive.org/details/texts?&and[]=The%20Lancashire%20Witches%20A%20Romance%20Of%20Pendle%20Forest&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
16,Ainsworth,William,The Leaguer Of Lathom A Tale Of The Civil War In Lancashire,1876,"https://archive.org/details/texts?&and[]=The%20Leaguer%20Of%20Lathom%20A%20Tale%20Of%20The%20Civil%20War%20In%20Lancashire&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
17,Ainsworth,William,The Spanish Match Or Charles Stuart At Madrid,1865,"https://archive.org/details/texts?&and[]=The%20Spanish%20Match%20Or%20Charles%20Stuart%20At%20Madrid&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
18,Ainsworth,William,Windsor Castle An Historical Romance By W Harrison Ainsworth,1844,"https://archive.org/details/texts?&and[]=Windsor%20Castle%20An%20Historical%20Romance%20By%20W%20Harrison%20Ainsworth&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Ainsworth"""
19,Akerman,John,London Legends,1842,"https://archive.org/details/texts?&and[]=London%20Legends&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Akerman"""
20,Alcott,Louisa,Moods,1864,"https://archive.org/details/texts?&and[]=Moods&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Alcott"""
21,Alcott,Louisa,Work A Story Of Experience,1873,"https://archive.org/details/texts?&and[]=Work%20A%20Story%20Of%20Experience&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Alcott"""
