"","id","0-score","1-score","av-rank-in-CV","prop-selected-in-CV"
"1","sat","0.135","-0.135","1.4","1"
"2","took","-0.1319","0.1319","2.4","1"
"3","wept","0.1318","-0.1318","2.2","1"
"4","looked","0.1184","-0.1184","4.7","1"
"5","felt","0.1141","-0.1141","6.2","1"
"6","heard","0.1141","-0.1141","5.9","1"
"7","cried","0.1141","-0.1141","6","1"
"8","loved","0.109","-0.109","8.1","1"
"9","found","-0.1061","0.1061","8.7","1"
"10","knew","0.0996","-0.0996","10.3","1"
"11","rode","-0.0963","0.0963","11","1"
"12","walked","-0.0905","0.0905","13.4","1"
"13","come","-0.0895","0.0895","13.8","1"
"14","burst","0.0893","-0.0893","13.5","1"
"15","answered","0.0864","-0.0864","15.3","1"
"16","muttered","-0.0858","0.0858","16.2","1"
"17","rose","0.0844","-0.0844","17.3","1"
"18","love","0.0832","-0.0832","18.1","1"
"19","left","-0.0823","0.0823","19.1","1"
"20","paid","-0.0799","0.0799","21.1","1"
"21","made","-0.0798","0.0798","21.2","1"
"22","get","-0.0794","0.0794","21","1"
"23","called","-0.0789","0.0789","22.2","1"
"24","murmured","0.0734","-0.0734","25.4","1"
"25","listened","0.072","-0.072","26.9","1"
"26","came","-0.0719","0.0719","28","1"
"27","do","-0.0719","0.0719","27.7","1"
"28","sank","0.0711","-0.0711","28.3","1"
"29","ran","0.0704","-0.0704","28.9","1"
"30","take","-0.07","0.07","29.5","1"
"31","exclaimed","0.0694","-0.0694","30","1"
"32","smiled","0.0689","-0.0689","30.7","1"
"33","replied","0.0674","-0.0674","31.6","1"
"34","got","-0.0652","0.0652","33.1","1"
"35","find","-0.0627","0.0627","34.5","1"
"36","comes","-0.0627","0.0627","35.5","1"
"37","arrived","-0.06","0.06","37.4","1"
"38","call","-0.0598","0.0598","37.4","1"
"39","bowed","-0.0586","0.0586","38.5","1"
"40","whispered","0.0569","-0.0569","39.9","1"
"41","accept","0.0545","-0.0545","42.9","1"
"42","face","0.0541","-0.0541","43.4","1"
